,HPGL0366,HPGL0368,HPGL0370,HPGL0372,HPGL0376,HPGL0378,HPGL0380,HPGL0382,HPGL0399,HPGL0401,HPGL0403,HPGL0405,HPGL0459,HPGL0463,HPGL0467,HPGL0497,HPGL0501,HPGL0505,HPGL0509
ENSG00000000003,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,956,924,1082,677,1080,879,986,991,1147,1015,1005,677,957,809,784,1108,1087,1371,604
ENSG00000000457,70,130,115,134,65,128,176,167,233,222,245,178,95,160,165,106,228,256,173
ENSG00000000460,60,112,148,156,67,81,144,159,103,206,255,186,73,134,178,41,199,304,155
ENSG00000000938,16659,23657,16546,8012,13476,15555,19678,15016,22064,13727,10505,8950,16890,24936,20833,18514,24232,14460,10468
ENSG00000000971,5,2,0,3,10,5,2,4,6,6,5,4,7,4,1,15,5,5,4
ENSG00000001036,2507,2698,4982,3475,2664,1607,2195,2225,2320,3527,4258,3149,1981,2658,3336,3089,3281,4654,2410
ENSG00000001084,4184,2659,3276,2026,4114,983,1703,1476,2370,4393,4394,2377,2520,2870,4637,7282,2808,3370,1489
ENSG00000001167,1388,941,906,816,1351,621,758,897,2177,1038,1157,895,1790,1240,1227,1394,1231,1491,842
ENSG00000001460,88,54,64,83,92,43,55,71,109,71,122,133,89,57,70,124,81,151,97
ENSG00000001461,203,206,204,301,169,93,171,270,279,401,682,574,225,333,469,196,324,661,523
ENSG00000001497,474,702,631,553,484,569,850,829,611,795,763,530,362,755,864,425,1092,1018,712
ENSG00000001561,756,1425,1033,1001,463,726,597,806,1111,1192,1491,908,754,1013,827,1219,1811,2164,807
ENSG00000001617,4,1,1,0,5,1,0,0,3,1,1,2,4,2,0,5,0,0,0
ENSG00000001626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,467,762,910,1036,411,612,998,1168,989,1115,1467,1275,660,1100,1265,727,1325,2018,1236
ENSG00000001630,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000001631,399,480,473,541,368,409,561,643,803,762,817,674,616,687,691,547,641,1162,588
ENSG00000002016,45,115,100,96,46,102,163,112,178,142,167,91,92,142,146,39,196,172,82
ENSG00000002330,53,57,105,91,55,33,25,74,56,73,156,167,41,62,109,66,57,66,127
ENSG00000002549,3270,6216,7416,4852,3054,4831,6302,5530,6077,6688,6857,5267,2517,4949,6538,2826,6975,8120,3845
ENSG00000002586,10000,6117,8278,7364,7741,3895,5262,5387,8881,8148,10567,10259,7701,6548,6640,11378,7910,8796,7734
ENSG00000002587,1474,258,483,343,583,38,37,40,1691,1240,926,449,721,80,142,1136,314,302,168
ENSG00000002726,19,8,16,29,26,8,15,18,15,6,28,11,38,17,19,125,24,46,26
ENSG00000002745,1,0,0,0,2,0,1,0,5,2,1,0,0,1,0,2,2,0,0
ENSG00000002746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,887,567,909,910,876,396,677,914,490,681,1153,952,667,647,985,1062,814,1078,1056
ENSG00000002834,10056,15482,13881,11462,10830,7258,9350,8952,16514,16651,16479,12518,12906,21406,19210,15583,21891,16049,11553
ENSG00000002919,767,894,1345,1380,640,733,975,999,1025,1170,1607,1163,814,992,902,802,1303,1532,1015
ENSG00000002933,1379,961,2396,1774,396,201,337,406,600,804,1312,1246,1627,1016,1580,638,440,1096,1040
ENSG00000003056,6216,9353,9131,8233,7758,7604,9592,8351,13578,13672,15570,11905,7213,9349,10443,10845,15514,16382,9790
ENSG00000003096,29,5,44,115,70,3,5,19,18,54,303,309,10,5,17,70,13,299,177
ENSG00000003137,3,0,0,0,1,3,1,5,1,1,0,1,3,1,0,2,0,1,2
ENSG00000003147,48,90,123,167,86,59,56,70,33,142,231,177,63,95,147,84,134,299,165
